study_word,test,condition,textbox.text,corr_resp,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
,m_n_y,non_prime,money,1,[-0.01325301204819277],[-0.27710843373493976],[1],[0],[0],[2.9245736000011675],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,p_n_i_,non_prime,,0,[],[],[],[],[],[],[],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,d_e_s,prime,dress,1,[0.007228915662650603],[-0.30120481927710846],[1],[0],[0],[3.566439000016544],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,b_k_,prime,bike,1,[0.016867469879518072],[-0.30120481927710846],[1],[0],[0],[2.978921399975661],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,b_r_,non_prime,bird,1,[0.020481927710843374],[-0.28072289156626506],[1],[0],[0],[3.062139199988451],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,k_y_,prime,keys,1,[0.10963855421686747],[-0.2927710843373494],[1],[0],[0],[2.713678499974776],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,_r_e,non_prime,tree,1,[0.12409638554216867],[-0.28072289156626506],[1],[0],[0],[2.850584300002083],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,c_s_i_n,prime,cushion,1,[0.0],[-0.27710843373493976],[1],[0],[0],[5.169744999962859],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,m_b_l_,non_prime,mobile,1,[0.04578313253012048],[-0.3024096385542169],[1],[0],[0],[3.266084900009446],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,s_e_f,non_prime,shelf,1,[0.10843373493975904],[-0.3228915662650602],[1],[0],[0],[2.9954050999949686],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,b_o_,prime,book,1,[0.10843373493975904],[-0.3132530120481928],[1],[0],[0],[2.839092900045216],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,b_t_l_,non_prime,bottle,1,[0.09156626506024096],[-0.3228915662650602],[1],[0],[0],[3.3966009000432678],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,c_o_k,non_prime,clock,1,[0.07590361445783132],[-0.28313253012048195],[1],[0],[0],[3.097432199981995],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,r_n_a_,prime,runway,1,[0.0819277108433735],[-0.3253012048192771],[1],[0],[0],[3.7989377999911085],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,l_f_,non_prime,lift,1,[0.10722891566265061],[-0.2963855421686747],[1],[0],[0],[2.7145898999879137],['text_3'],934491,1,2024-10-30_13h49.43.895,word_prime_exp,2024.1.5,None,2024-10-30 13h49.51.430158 +0530
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,proportion of hits from the study list,38,0.475,,,,,,,,,,,,,
,,,proportion of hits from the non-prime list,24,0.3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,priming score,,0.175,,,,,,,,,,,,,
