num_distr,mouse.time,mouse.clicked_name,,num_distr,mouse.time,mouse.clicked_name,,num_distr,mouse.time,mouse.clicked_name,,num_distr,mouse.time,mouse.clicked_name,,
5,1.1559848,target,,5,1.2566479,target,,,,,,,,,,
5,1.572113,target,,10,1.2630752,target,,,,,,,,,,
5,1.1857746,target,,5,1.2549816,target,,,,,,,,,,
5,1.2566479,target,,5,2.3906286,target,,,,,,,,,,
10,1.2630752,target,,10,2.8321401,target,,,,,,,,,,
5,1.2549816,target,,5,1.2232856,target,,,,,,,,,,
5,2.3906286,target,,5,1.0891431,target,,,,,,,,,,
10,2.8321401,target,,5,1.621207,target,,,,,,,,,,
5,1.2232856,target,,10,2.8655105,target,,,,,,,,,,
5,1.0891431,target,,5,1.1557874,target,,,,,,,,,,
5,1.621207,target,,10,1.445987,target,,,,,,,,,,
10,2.8655105,target,,10,1.3456187,target,,,,,,,,,,
5,1.1557874,target,,5,1.2721479,target,,,,,,,,,,
5,1.3243033,,,10,1.1291899,target,,,,,,,,,,
10,1.445987,target,,5,1.7245502,target,,,,,,,,,,
10,1.3456187,target,,5,1.5881699,target,,,,,,,,,,
5,1.2721479,target,,5,1.1351732,target,,,,,,,,,,
10,1.1291899,target,,5,1.171472,target,,,,,,,,,,
5,1.7245502,target,,10,1.5115634,target,,,,,,,,,,
5,1.5881699,target,,5,2.6587508,target,,,,,,,,,,
5,1.1351732,target,,5,1.3389657,target,,,,,,,,,,
5,1.171472,target,,10,1.2288763,target,,,,,,,,,,
10,1.5115634,target,,10,1.4455369,target,,,,,,,,,,
5,2.6587508,target,,5,1.7069993,target,,,,,,,,,,
5,1.3389657,target,,10,1.1301687,target,,,,,,,,,,
10,1.2288763,target,,5,1.7062092,target,,,,,,,,,,
10,1.4455369,target,,5,1.4883707,target,,,,,,,,,,
5,1.7069993,target,,5,1.0720163,target,,,,,,,,,,
10,1.1301687,target,,5,1.0569637,target,,,,,,,,,,
5,1.7062092,target,,10,1.4273715,target,,,,,,,,,,
5,1.4883707,target,,10,1.7145451,target,,,,,,,,,,
5,1.0720163,target,,5,1.4395604,target,,,,,,,,,,
5,1.0569637,target,,5,1.0892079,target,,,,,,,,,,
10,1.4273715,target,,10,1.5437456,target,,,,,,,,,,
10,1.7145451,target,,5,1.2558663,target,,,,,,,,,,
5,1.4395604,target,,5,1.2364723,target,,,,,,,,,,
5,1.0892079,target,,5,1.0342912,target,,,,,,,,,,
10,1.5437456,target,,10,1.3316123,target,,,,,,,,,,
5,1.2558663,target,,5,1.0236262,target,,,,,,,,,,
5,1.2364723,target,,10,1.1099578,target,,,,,,,,,,
5,1.0342912,target,,5,1.539046,target,,,,,,,,,,
10,1.3316123,target,,10,1.194403,target,,,,,,,,,,
5,1.0236262,target,,10,1.0628436,target,,,,,,,,,,
10,1.1099578,target,,10,0.9116801,target,,,,,,,,,,
5,1.539046,target,,5,1.4225701,target,,,,,,,,,,
10,1.194403,target,,10,1.212403,target,,,,,,,,,,
10,1.0628436,target,,10,1.2313043,target,,,,,,,,,,
10,0.9116801,target,,5,1.3190954,target,,,,,,,,,,
5,1.4225701,target,,5,1.1043283,target,,,,,,,,,,
10,1.212403,target,,5,1.2046113,target,,,,,,,,,,
10,1.2313043,target,,5,1.7884198,target,,,,,,,,,,
5,1.3190954,target,,5,1.1227091,target,,,,,,,,,,
5,1.1043283,target,,10,1.4944846,target,,,,,,,,,,
5,1.2046113,target,,10,1.5303357,target,,,,,,,,,,
5,1.7884198,target,,5,1.2563699,target,,,,,,,,,,
5,1.1227091,target,,5,1.270995,target,,,,,,,,,,
10,1.4944846,target,,5,0.9046044,target,,,,,,,,,,
10,1.5303357,target,,5,2.3735742,target,,,,,,,,,,
5,1.2563699,target,,,,,,,,,,,,,,
5,1.270995,target,,,,,,,,,,,,,,
5,0.9046044,target,,,,,,,,,,,,,,
5,2.3735742,target,,,,,,,,,,,,,,
